CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020,LATITUDE,LONGITUDE,Count_Per_Year_2020,Count_Per_Year_2021,Count_Per_Year_2022,Count_Per_Year_2023,Count_Per_Year_2024
123200400,114986700,82217500,56128600,47509100.0,50982400.0,42971700.0,18938500,7933600,11248100,49.0947783,-122.6676699,3600,3600,3600,3600,3600
157998205,155133155,123537580,109229680,110906505.0,31337000.0,28877800.0,29110700,26530800,34654900,49.167457,-122.580444,25281,25281,25281,25281,25281
10509000,10717000,9169200,6773300,6310800.0,1755000.0,1727000.0,1142200,706300,970800,49.174953,-122.650756,64,64,64,64,64
10891000,11143000,9495000,6765600,6505000.0,2386000.0,2407000.0,1693000,868600,1315000,49.176376,-122.644037,64,64,64,64,64
75463800,74429500,61451100,40525000,39485600.0,18269800.0,15362500.0,11955100,9553000,11693600,49.169132,-122.678051,1444,1444,1444,1444,1444
368490200,346784300,282826900,226204300,217873900.0,178560000.0,174837600.0,153323700,135724200,137854100,49.17103,-122.673888,180625,180625,180625,180625,180625
122923000,125555000,110407500,81619000,80171100.0,26144000.0,26397000.0,20701500,12374000,18950100,49.1588515,-122.6425906,6889,6889,6889,6889,6889
82725200,81543100,68005500,52001100,51369000.0,13725200.0,16271100.0,12108500,9791100,10040000,49.127936,-122.613496,3844,3844,3844,3844,3844
68481000,70147000,61261000,44362300,43165000.0,13542000.0,13722000.0,10860000,6282300,9647000,49.1285614,-122.6454063,2809,2809,2809,2809,2809
166528100,170726800,149343000,109202200,105662900.0,30022100.0,30327800.0,24514000,14069200,20225900,49.093112,-122.606857,21025,21025,21025,21025,21025
492780000,472292100,415834800,346325800,336079100.0,345203600.0,319216700.0,299707400,278996600,284411500,49.127936,-122.613496,370881,370881,370881,370881,370881
124623500,126923300,110860500,82596100,77710600.0,23644500.0,23088300.0,18561500,12793100,15574600,49.0884101,-122.6483262,8100,8100,8100,8100,8100
120100300,122745600,100616300,81724500,82583500.0,30521300.0,31255600.0,26298300,21124500,22880500,49.115127,-122.65456,35721,35721,35721,35721,35721
37445000,32721000,24127000,19164000,17258000.0,11204000.0,11560000.0,8188000,5742000,5504000,49.107428,-122.606651,16,16,16,16,16
16031000,16393000,14251400,10437800,9648800.0,2330000.0,2323000.0,1684400,941800,1287800,49.127585,-122.674954,144,144,144,144,144
43521000,45395000,40266300,29076300,28342500.0,7585000.0,7301000.0,6296300,4197300,4499500,49.099979,-122.671889,1600,1600,1600,1600,1600
369931352,322456452,272584302,211050802,212405952.0,80947901.0,67973901.0,62818801,40062101,50607001,49.1480419,-122.6675402,104976,104976,104976,104976,104976
57139000,57665000,49509400,36892700,34853900.0,7845000.0,7410000.0,6908400,3819700,5172900,49.107114,-122.658203,1444,1444,1444,1444,1444
358480700,350366600,286742200,233484600,221863200.0,56531700.0,51476600.0,42537200,31241300,47437900,49.0951917,-122.6599745,124609,124609,124609,124609,124609
105479800,106619700,92877700,65771321,64660100.0,19364800.0,17701700.0,15482700,12119317,15926106,49.142328,-122.651026,5184,5184,5184,5184,5184
201751300,199578100,164222700,136432300,121486500.0,16814300.0,14941100.0,12444700,10324300,31929500,49.0924754,-122.649496,4356,4356,4356,4356,4356
110548700,111794000,92968000,66487000,70131800.0,9181700.0,9158000.0,7160000,6956000,6050800,49.097656,-122.66545,7569,7569,7569,7569,7569
107290000,111028000,96333100,68770800,67455300.0,20785000.0,20942000.0,15856100,8683800,12693300,49.133997,-122.67627,6084,6084,6084,6084,6084
58862000,60084000,52329300,37595300,37239100.0,13789000.0,13793000.0,10995300,6363300,9594100,49.13926,-122.673513,1521,1521,1521,1521,1521
114022000,114652000,93249000,80200600,72991400.0,33568000.0,33840000.0,31442000,27052600,26971400,49.10572,-122.550834,39204,39204,39204,39204,39204
19212000,19696000,17218000,12344600,11649700.0,3205000.0,3252000.0,2541000,1248600,1889700,49.092795,-122.541336,256,256,256,256,256
78979000,79782000,69692100,51558300,47623700.0,17535000.0,16465000.0,12915100,8651300,9833700,49.081787,-122.539012,1936,1936,1936,1936,1936
292731700,265509000,227359200,184863100,185255000.0,59874700.0,50594000.0,52567200,41978600,68758500,49.002503,-122.647016,109561,109561,109561,109561,109561
366881200,363131200,305695800,263838400,244296400.0,139328600.0,134338300.0,120947800,116923200,140995900,49.009544,-122.657958,121801,121801,121801,121801,121801
79820000,81404100,70898200,51575100,48761800.0,13155000.0,12921100.0,9737200,5359100,8084800,49.008451,-122.663353,3844,3844,3844,3844,3844
55271000,55981000,48516000,35232700,36883000.0,16775000.0,16450000.0,13231000,8566700,13414000,49.043981,-122.656548,900,900,900,900,900
17217000,17472000,15281100,11157500,10861200.0,3655000.0,3544000.0,2840100,1756500,2585200,49.002519,-122.641403,100,100,100,100,100
101714300,103178500,89600100,65176700,63087800.0,20209300.0,19511500.0,15018100,8861700,13334800,49.091795,-122.555207,6084,6084,6084,6084,6084
28576100,29165400,24985900,18074400,17674900.0,4784100.0,4699400.0,3672900,2331400,2904900,49.098457,-122.557545,529,529,529,529,529
108853000,105826000,90561000,40738400,15236000.0,31956000.0,30863000.0,25522000,10489400,5224000,49.103905,-122.559206,16384,16384,16384,16384,16384
170169800,171385000,146336000,121121900,119540800.0,135059600.0,133067300.0,119788800,112667800,115198000,49.101624,-122.564975,79524,79524,79524,79524,79524
250468800,212361000,168480700,129321300,119444000.0,122960800.0,87445000.0,78688700,62386300,57086800,49.099452,-122.567736,31684,31684,31684,31684,31684
10913000,11165000,9744000,7078500,7023000.0,2443000.0,2467000.0,1976000,1208500,1857000,49.07956,-122.67808,64,64,64,64,64
10671000,10919000,9476000,6769900,6561000.0,2295000.0,2319000.0,1796000,969900,1457000,49.075616,-122.667557,64,64,64,64,64
481218000,473896800,393983600,319575500,313673200.0,216006200.0,204600500.0,191838800,173165000,182861000,49.069679,-122.665338,511225,511225,511225,511225,511225
57531000,58664000,51427900,37117800,35072900.0,9963000.0,9800000.0,7791900,4143800,6051900,49.070933,-122.662318,1849,1849,1849,1849,1849
114548400,112489100,96013600,71210200,66125600.0,18464400.0,18360400.0,13947600,7865500,10637900,49.073077,-122.655052,5476,5476,5476,5476,5476
15859700,16181400,13871700,10382300,9469300.0,1869700.0,1810400.0,1042700,686300,938300,49.072744,-122.653644,196,196,196,196,196
43862000,44756000,39265600,28528900,27468700.0,9116000.0,9070000.0,7387600,4435900,6265700,49.069599,-122.648956,1444,1444,1444,1444,1444
179388000,180333500,155725000,112814100,107044500.0,36999000.0,34102500.0,26959000,15522100,22606500,49.086235,-122.624822,13924,13924,13924,13924,13924
194901000,195947200,171762400,124506800,120160200.0,45323000.0,44686200.0,36855400,22441800,30325200,49.087978,-122.639228,17161,17161,17161,17161,17161
60602600,61913600,54131600,39127900,37346500.0,10919000.0,10900000.0,8534000,4684100,7007700,49.0882156,-122.6397994,2500,2500,2500,2500,2500
11851000,9642000,8787000,7065000,6175000.0,683000.0,926000.0,486000,241000,738000,49.115561,-122.668027,9,9,9,9,9
91566900,86299700,73023400,56900100,51296300.0,22505900.0,21441700.0,17918400,12341100,14706300,49.070358,-122.65228,4489,4489,4489,4489,4489
38544000,39420000,34449000,25478000,26058000.0,9483000.0,9577000.0,7806000,5347000,8337000,49.094493,-122.624172,841,841,841,841,841
36294700,37217700,32672700,24567300,24153400.0,8764000.0,8892000.0,7288000,5391900,7267000,49.096119,-122.62844,841,841,841,841,841
11141000,11089000,9789000,7091200,6918000.0,2495000.0,2210000.0,1859000,1099200,1643000,49.092178,-122.625793,64,64,64,64,64
232031700,231184400,202700800,147918900,139897300.0,48556700.0,45440400.0,36297800,22216900,29129300,49.089605,-122.606979,20164,20164,20164,20164,20164
80893900,82484900,72256900,52226400,50461000.0,16309000.0,16149000.0,13020000,7460700,11050300,49.094865,-122.625944,3969,3969,3969,3969,3969
6830000,6917000,6348000,4568000,4702000.0,3110000.0,3097000.0,2935000,1988000,2431000,49.0870949,-122.6263388,9,9,9,9,9
40402000,41395000,36063000,26482700,24992300.0,7267000.0,7297000.0,5521000,3405700,4662300,49.088223,-122.625813,784,784,784,784,784
20975000,20174000,17384900,12683000,11922400.0,4388000.0,3139000.0,2171900,1186000,1803400,49.084661,-122.622459,256,256,256,256,256
51029000,51998300,45422700,33050400,31137900.0,8798000.0,8617300.0,6687700,3782400,5380900,49.083015,-122.617921,1444,1444,1444,1444,1444
674677800,622891300,523789200,417255800,397856800.0,181849100.0,156222600.0,161833500,125102900,134267500,49.103382,-122.473249,687241,687241,687241,687241,687241
440409300,438989600,371865300,301623900,292953500.0,182200100.0,179742900.0,169325100,154947800,152679700,49.0967786,-122.5260549,409600,409600,409600,409600,409600
418922200,402916600,333774200,260913800,230848000.0,114517200.0,113270600.0,113399200,88857700,93595900,49.10326,-122.536047,294849,294849,294849,294849,294849
224537500,193233500,153604200,126816700,127266200.0,55508500.0,47838500.0,42508200,37266700,41753200,49.100495,-122.528974,136161,136161,136161,136161,136161
18203700,18203200,13941000,6564500,6271000.0,30700.0,30200.0,195000,1457500,1908000,49.111319,-122.487655,16,16,16,16,16
187331400,194434800,175106800,58271300,49695300.0,38499400.0,39874800.0,45381800,9005300,7233300,49.061882,-122.488229,47089,47089,47089,47089,47089
906590100,832045100,703264700,606674000,603215500.0,164992600.0,179996600.0,176157200,160913400,209938000,49.0583828,-122.4763804,172225,172225,172225,172225,172225
66856200,68496400,59008200,44200500,42970500.0,11556200.0,11553400.0,8803200,5944500,8583500,49.095768,-122.64749,3969,3969,3969,3969,3969
