Coordinates,Area
"49.23843208561654, -123.12580913081992",4.73593047747582
"49.23374566990904, -123.16348594568844",1.49434753324888
"49.27046708503926, -123.0507625334799",3.04979991045323
"49.25539840032883, -123.0512645230009",4.44201460845122
"49.21024780335246, -123.11951375283157",0.513125315644564
"49.28546882304755, -123.14218138881026",0.548365412155204
"49.27621201651504, -123.02570317607942",4.18034978379804
"49.26952236507575, -123.13489269612614",0.264305217455856
"49.27700855494706, -123.11896923812154",0.139191955619241
"49.27959372479923, -123.10343179550165",0.813574951450618
"49.25493181253211, -123.08075847140283",1.13307155216794
"49.26543547423968, -123.12891427364485",0.067336232550298
"49.264842885178695, -123.12205060960227",0.0714000475007253
"49.27181206984341, -123.21438558564188",0.396767665005199
"49.26636131638954, -123.20431179678592",3.74968855289282
"49.284330029175095, -123.09966169446255",0.0374575997909643
"49.25237676727856, -123.17645471480918",0.768324970009133
"49.25097540413386, -123.1624811771814",4.86080114853697
"49.21726674556697, -123.08235633886575",1.51183460790387
"49.258160306611416, -123.09202495595909",1.56399247562851
"49.24229347353439, -123.1042653510012",2.70374467009868
"49.282640071926195, -123.09434722312359",0.979110919896282
"49.2277292520923, -123.05753198459725",2.9177726955529
"49.20551239005133, -123.13836711513864",0.269432228104611
"49.23598345898842, -123.06703783753822",1.42644043734557
"49.2640014751542, -123.09593728259703",1.04386703720056
"49.22340319803405, -123.0704575108062",6.89397770904188
"49.23612962291615, -123.03111889768618",1.50603755345682
"49.285546252632024, -123.06204563660081",0.2485233187523
"49.247492113310514, -123.07474873943073",2.47407815772448
"49.26383305777943, -123.08895640927422",0.546686346441697
"49.27400057825126, -123.09922137162312",1.63924104732479
"49.23024836153691, -123.1922393668053",23.746879997979
"49.20556313321264, -123.04889651261576",4.20510510068736
"49.2715283042007, -123.14602862328918",0.792039950337337
"49.27264912711199, -123.2060459604727",4.32026908204686
"49.24402454055487, -123.1567534254394",2.89202085957249
"49.28253976755154, -123.05817844628112",1.6669769574966
"49.2475621485337, -123.04401989145983",6.05874654674536
"49.288095535661355, -123.03437215025144",1.66227389497938
"49.27138589974858, -123.03120064535138",11.8277625682218
"49.28954611707401, -123.05946587116794",0.15941836999764
"49.22011023771559, -123.02902647126156",3.61868118482825
"49.238439513438855, -123.07535586624105",5.76369199231227
"49.20650696218356, -123.1291666600433",0.900147022990927
"49.20219934206411, -123.12490723282059",0.562089252341593
"49.223726933969985, -123.16018804653422",4.204906758789
"49.218282159833194, -123.1852783659304",0.637889872604174
"49.25565889722085, -123.13512625743954",1.44996469619845
"49.265922000636145, -123.1522361010129",0.221626264600752
"49.24762617073041, -123.16839516049971",0.0939726481007266
"49.247616643447344, -123.16991724163367",0.0278941099991238
"49.24440702489111, -123.16509235112471",0.136388763151915
"49.272256590820156, -123.12450042107261",3.54907348360547
"49.27499554225812, -123.11971192580297",0.173960947650223
"49.27324754056611, -123.11424301523982",1.85035727991756
"49.24501831172257, -123.13359436584602",1.52738306235884
"49.24471462857966, -123.1083531373287",7.52775182160045
"49.23152083317967, -123.11203567144788",2.7869190138483
"49.27520910144171, -123.13205470009028",0.251047183350787
"49.282493963616034, -123.11369260718499",0.267489856992021
"49.28081152161802, -123.13855925207392",0.0602606376957713
"49.26303583313147, -123.07292643518495",0.298329953955506
"49.21918201343499, -123.03802596851291",0.228890080100192
"49.287273084108925, -123.13225321501888",0.63255076039675
"49.27385047489811, -123.10296854843675",2.54091408715624
"49.226946797413106, -123.16422693338055",0.251042924201287
"49.27331178319244, -123.12172861451869",0.909772195548736
"49.26643922740094, -123.14137059626812",0.134371409447614
"49.29142626775465, -123.05456018037312",0.134623071049017
"49.29122755368262, -123.04402065958692",0.0956773358296964
"49.29179097991502, -123.13806985439265",0.0800950798861754
"49.286434032676326, -123.1368312030331",0.0809134165487322
"49.28496594308869, -123.13671286465933",0.0800881698909632
"49.27049369499128, -123.10774369591951",0.0659626872004724
"49.278496146754684, -123.23070890059056",7.9936236572
"49.249609006540524, -123.15597457038474",1.41251714423845
"49.28996391342233, -123.12113541927735",3.20004685826282
"49.27530424424894, -123.08524423503535",10.0935812276699
"49.20549263348828, -123.03983995849894",0.119540698
"49.20642074755844, -123.02619086271137",0.295188037
"49.205719251853985, -123.037046360125",0.14220669
"49.254106563843926, -123.07402495055352",
"49.27122553657843, -123.10633524720586",
"49.26205550109892, -123.16010507957903",5.99364508649544
"49.25710409057022, -123.07235700114158",4.29520261524687
"49.249047303072075, -123.19223797014051",3.45430496204766
"49.24762496945391, -123.12358077847458",1.25892862318357
"49.20538526928567, -123.13247846128131",0.420568852866022
"49.2766436601484, -123.12409417280017",0.89674284436238
"49.24069738239653, -123.15607824625415",0.921598852954981
"49.2657423296989, -123.12433345300423",0.153937568181927
"49.26197997482924, -123.1555658097564",0.687947723971759
"49.26158562798952, -123.10723585202372",0.0743320505985351
"49.25656384378954, -123.17163059502842",4.24045333579406
"49.27169124363484, -123.06668021170476",0.88988691539931
"49.22773928258131, -123.11945534559902",5.03215164040145
"49.268852138134314, -123.02874272685345",0.894318008948723
"49.22976533096147, -123.06992291342094",2.09567433113939
"49.27021207034864, -123.16945997597458",1.40219082924921
"49.26663859831312, -123.03513784186109",3.18355643291169
"49.21230908356582, -123.1474143528423",2.38252549921036
"49.20054824923337, -123.13742480446807",0.498919986549244
"49.215504676987734, -123.08616112111363",3.60434800565596
"49.2247953592834, -123.11155372406716",1.2134519067999
"49.23318550541743, -123.15709283354433",1.52878440309112
"49.23571374340074, -123.15348722718541",2.99482702348635
"49.26411991356805, -123.04590838072166",0.446881417748184
"49.26428206174668, -123.10811274248832",1.40231986350514
"49.21872174251212, -123.06330896217833",0.4717567926075
"49.24097990356942, -123.08505467156093",1.61600307394095
"49.26722612472092, -123.13736286481537",1.05678320404378
"49.27351916808405, -123.07053818630735",0.892809659807845
"49.249584647015894, -123.08288989540277",1.09383257159134
"49.21262825570026, -123.09432649392568",1.43718058214064
"49.24472798427207, -123.05855153801156",2.11096120680908
"49.21536907307322, -123.06727219877742",1.27319060314951
"49.23403895126828, -123.02871672492113",0.29582210215001
"49.2806109393663, -123.04025107627515",4.19747960248796
"49.206778973860054, -123.1428839755863",0.408517737453421
"49.26225893738126, -123.1552719086687",0.49468262694921
"49.251486077608405, -123.09764769541485",1.21630953324147
"49.28172724973046, -123.10457868859574",0.0364088534998457
"49.26908983614111, -123.1350531063026",2.51520320553079
"49.258432503501155, -123.14312129017391",1.96549921143359
"49.23095997369294, -123.08521973381485",13.7496550353914
"49.25696857856663, -123.09881719092758",0.263113005955819
"49.26158375206245, -123.07903147655263",1.521847190063
"49.28629328970966, -123.06216456554532",0.234979604077005
"49.29213143159474, -123.0476313194587",0.532331139403908
"49.234644677485946, -123.02732274817927",0.982303891854303
"49.21583205408907, -123.03872520223298",1.36260927315885
"49.216657150136875, -123.15516209357506",0.739357266099425
"49.260891399138906, -123.18461234602013",1.6127941185627
"49.27213290901265, -123.16747142623755",0.381225714696044
"49.27471723830591, -123.09355881826609",3.04885577488361
"49.273330142974146, -123.07411699471568",0.113048200001357
"49.29007414526977, -123.12495921839769",0.95400528754967
"49.24264794277676, -123.10659175319414",6.22033759694416
"49.215512329007936, -123.12848039859284",5.26027130909045
"49.28662876603055, -123.06117969444146",0.0505047743680204
"49.28218142150544, -123.11016603205681",0.389492830002349
"49.29247508552234, -123.1311321856507",0.631397016454382
"49.288685518541705, -123.05718254596341",0.257090567194679
"49.239406992416065, -123.13244688419009",22.3436103405188
"49.27261939003161, -123.16614520983559",0.228853028253126
"49.27443103824132, -123.13902498971548",0.294016995132363
"49.205671926043586, -123.05972175714153",1.13405742034567
"49.257059085115664, -123.09001097240984",0.0841347785964455
"49.20689483355646, -123.03948344281488",0.131877062198144
"49.291952723718275, -123.05193160080069",0.105088128997134
"49.25608300608431, -123.1123962423244",0.0663921115994546
"49.28560999360129, -123.13340799210071",0.0801406927277624
"49.29076156110167, -123.1423426366777",0.0803500225716637
"49.27194865634577, -123.17947790098702",0.125908311097937
"49.23348772812964, -123.04768121754438",1.58944043485345
"49.20494542998893, -123.03714583630963",0.364521021
"49.20659243283588, -123.0369724609365",0.097219385
"49.24374214245023, -123.14912049677662",7.68619549458187
"49.29015652232579, -123.0379457108837",10.3826543929934
"49.283550695584424, -123.14150996594101",9.97202184194711
"49.25253324892644, -123.12240927410276",5.33117759879601
"49.285795046708806, -123.12054593933215",0.102943408756443
"49.23704482400866, -123.03688201338858",1.27008048720393
"49.26493798928152, -123.08349740620415",3.17168418169933
"49.260776498032044, -123.07647043883033",0.472500789983627
"49.23761754405308, -123.09748970687819",0.366252255098162
"49.24196025084778, -123.03041669042673",0.684148291700649
"49.244122329985174, -123.02893685737968",0.768041917890097
"49.29233941800411, -123.12808550040174",0.326007860650418
"49.22136181655617, -123.117904617331",0.934209170792763
"49.28617984625474, -123.04538320426653",1.44933235846117
"49.29102364009017, -123.05056674149047",2.76650732359944
"49.24769352924712, -123.06647889902392",1.38563362514848
"49.25555645572367, -123.17890059897258",0.0673460814993804
"49.2689910581561, -123.07405713696141",0.224231163153207
"49.29415718547735, -123.13439051697944",4.43633065970916
"49.273397266079066, -123.027657362099",1.5410010545813
"49.26642636737879, -123.09086051136107",0.0819068646024165
"49.27728342263437, -123.06804658506577",0.240798879899163
"49.27850648628995, -123.07345932407726",1.58340644005436
"49.21548788918521, -123.1140290825257",5.32244852615064
"49.27829485733006, -123.0588390171663",1.93138910630386
"49.277684867810066, -123.13658281586449",3.64185860408422
"49.24375038874359, -123.04765885569115",4.21168215519803
"49.21544712731017, -123.14254916562136",0.942953390897587
"49.252049335833206, -123.04293019018573",5.01165145425662
"49.23721383105909, -123.05107748249603",2.26934887531676
"49.2571322786168, -123.10625151855595",1.11767847030176
"49.23123608171696, -123.13047111539488",4.026667424109
"49.243335165868416, -123.18807785532486",7.50560613666697
"49.236413396615795, -123.02899933256579",0.489274039451405
"49.27882770336579, -123.08845305212708",1.2100334953523
"49.25476923980325, -123.12113818269239",0.977890042879704
"49.25397389501003, -123.10196068412964",0.24218716850299
"49.26816049828741, -123.05901422987473",0.969202544796949
"49.25574041043259, -123.02986571244642",7.5832437727087
"49.287638234197345, -123.14199865764992",0.219755292302101
"49.267235962129824, -123.12420795747167",7.32004019546286
"49.208088044220084, -123.15089043654795",9.09715443267121
"49.27454030348719, -123.15471686236617",13.6013474862508
"49.271798110979006, -123.19767179216774",48.1970416157871
"49.240089859212226, -123.02438477963906",0.351852455756059
"49.28800022417403, -123.11918823695933",0.101357649900289
"49.277656778028046, -123.14799842853687",2.96338837844202
"49.27616607590208, -123.14324752506616",21.3292127621418
"49.29221166732644, -123.02489439531213",0.346142084697415
"49.20758481979493, -123.03610167981839",1.19901528579562
"49.21542781010128, -123.03230520072317",7.85909219678394
"49.21848783014162, -123.03389671007776",5.49795018174891
"49.21502497432028, -123.05759844924667",3.83140603974699
"49.23195903095828, -123.17694396146818",2.42654029649267
"49.25709383558344, -123.1807024726915",0.14199719360094
"49.27277522238416, -123.18662514636038",1.23436895730367
"49.27161087277748, -123.16924653676",0.724990335300634
"49.2724802002414, -123.1293684657918",2.35705069049606
"49.27745207915554, -123.08753233120515",0.504358705177785
"49.27853027412942, -123.10422006928225",4.21620603889631
"49.22715033600137, -123.04426085301716",13.3876831547462
"49.28265524716038, -123.1295556422179",1.16578066674781
"49.27203588127323, -123.11087047405636",0.602773985182233
"49.29241901325258, -123.04929574094994",0.117238139622514
"49.27117133124785, -123.11020229798636",1.33026787383029
"49.2661537458484, -123.06663086022768",1.62786089009525
"49.229763691374174, -123.09839317206101",1.0544374799989
"49.268098847548835, -123.17970673739161",1.71258912160768
"49.274883428249254, -123.20720526855948",14.7235683183755
"49.28520224734601, -123.10232035372182",3.30116665068116
"49.27169563520215, -123.17615788876282",0.213534620949375
"49.273456399599624, -123.16458704565763",0.290316981926542
"49.28246801975833, -123.03313159156069",6.19868461215964
"49.25499734670768, -123.10136369504596",0.160724411382015
"49.290956672491994, -123.05648816223461",0.0635006651718064
"49.27205399486927, -123.10800982690415",0.0499283381657422
"49.27729439295449, -123.10256707386439",0.277461847316467
"49.2847063729791, -123.13943791452694",0.0802685045648375
"49.28190495634851, -123.13628486260862",0.0801096984124133
"49.285108685307826, -123.1283332047096",0.080243032216717
"49.219710410594026, -123.14161439152127",0.270797130273111
"49.266840876332694, -123.14292298160115",0.111427441
"49.282578909946714, -123.03458823780737",6.19868461215964
"49.28378131346955, -123.04315328518366",1.9635740897808
"49.28233812448373, -123.03969260603476",4.2437017650217
"49.245039993501734, -123.1750552245086",4.89480292860367
"49.22280190451854, -123.09876518325977",7.12581499999927
"49.240858197255186, -123.1117813665295",52.9879857264513
"49.25380359424212, -123.14383457906482",0.898144104888877
"49.21057689205894, -123.03651171260917",38.1747876004295
"49.25571221682827, -123.06204274819486",27.371124266401
"49.27919341873375, -123.1186791114231",
"49.26482431775257, -123.10138177731997",
"49.277095646816726, -123.2189714283763",6.51051419072075
"49.27098976069242, -123.10414963250902",
